ID;Carga;Deformação;tempo(s)
amostra3;1948,4858;0,760658;90,310188
amostra3;1982,6936;0,767168;90,778926
amostra3;1982,6936;0,767168;91,107043
amostra3;2023,121;0,771334;91,450784
amostra3;2041,7798;0,777975;92,044519
amostra3;2041,7798;0,777975;92,38826
amostra3;2085,317;0,783834;92,888247
amostra3;2085,317;0,783834;93,216364
amostra3;2125,7444;0,789433;93,54448
amostra3;2156,8424;0,793469;93,903846
amostra3;2156,8424;0,793469;94,372584
amostra3;2156,8424;0,793469;94,794448
amostra3;2197,2698;0,805058;95,31006
amostra3;2197,2698;0,805058;95,638177
amostra3;2243,9168;0,809484;95,981918
amostra3;2275,0148;0,81326;96,310035
amostra3;2275,0148;0,81326;96,653776
amostra3;2293,6736;0,817036;96,981893
amostra3;2315,4422;0,821463;97,310009
amostra3;2315,4422;0,821463;97,65375
amostra3;2343,4304;0,826151;97,981867
amostra3;2371,4186;0,830057;98,309983
amostra3;2371,4186;0,830057;98,684974
amostra3;2399,4068;0,834614;99,013091
amostra3;2421,1754;0,840734;99,544327
amostra3;2421,1754;0,840734;100,028689
amostra3;2458,493;0,847244;100,40368
amostra3;2458,493;0,847244;100,747421
amostra3;2458,493;0,847244;101,075538
amostra3;2520,689;0,853884;101,403654
amostra3;2520,689;0,853884;102,044263
amostra3;2548,6772;0,865082;102,559875
amostra3;2548,6772;0,865082;103,044237
amostra3;2613,983;0,871983;103,387979
amostra3;2613,983;0,871983;103,731719
amostra3;2657,5202;0,877061;104,091085
amostra3;2657,5202;0,877061;104,419202
amostra3;2697,9476;0,884092;104,762943
amostra3;2697,9476;0,884092;105,137934
amostra3;2732,1554;0,88904;105,481675
amostra3;2769,473;0,891644;105,809792
amostra3;2785,022;0,89542;106,137908
amostra3;2785,022;0,89542;106,544147
amostra3;2806,7906;0,900107;106,872264
amostra3;2806,7906;0,900107;107,278504
amostra3;2837,8886;0,907008;107,60662
amostra3;2837,8886;0,907008;107,950362
amostra3;2893,865;0,912607;108,278478
amostra3;2893,865;0,912607;108,606595
amostra3;2921,8532;0,919768;109,075333
amostra3;2921,8532;0,919768;109,40345
amostra3;2974,7198;0,926278;109,856563
amostra3;2974,7198;0,926278;110,18468
amostra3;2974,7198;0,926278;110,55967
amostra3;3005,8178;0,932658;110,872162
amostra3;3005,8178;0,932658;111,215903
amostra3;3005,8178;0,932658;111,54402
amostra3;3064,904;0,941773;111,872136
amostra3;3105,3314;0,944247;112,215878
amostra3;3105,3314;0,944247;112,543994
amostra3;3123,9902;0,95258;113,043981
amostra3;3123,9902;0,95258;113,403347
amostra3;3176,8568;0,958309;113,731463
amostra3;3176,8568;0,958309;114,05958
amostra3;3223,5038;0,962866;114,403321
amostra3;3251,492;0,966512;114,731438
amostra3;3251,492;0,966512;115,059555
amostra3;3267,041;0,972371;115,403296
amostra3;3267,041;0,972371;115,731412
amostra3;3313,688;0,97784;116,059529
amostra3;3313,688;0,97784;116,40327
amostra3;3313,688;0,97784;116,950131
amostra3;3354,1154;0,986954;117,278248
amostra3;3354,1154;0,986954;117,793859
amostra3;3425,6408;0,995027;118,121976
amostra3;3425,6408;0,995027;118,715711
amostra3;3425,6408;0,995027;119,121951
amostra3;3481,6172;1,005964;119,450067
amostra3;3481,6172;1,005964;119,887556
amostra3;3553,1426;1,010912;120,215672
amostra3;3553,1426;1,010912;120,606287
amostra3;3553,1426;1,010912;120,934404
amostra3;3612,2288;1,020026;121,262521
amostra3;3637,1072;1,024453;121,621887
amostra3;3637,1072;1,024453;121,950003
amostra3;3668,2052;1,029661;122,309369
amostra3;3668,2052;1,029661;122,637486
amostra3;3711,7424;1,034349;122,965602
amostra3;3711,7424;1,034349;123,449965
amostra3;3733,511;1,040208;123,918703
amostra3;3733,511;1,040208;124,356192
amostra3;3733,511;1,040208;124,699933
amostra3;3814,3658;1,050624;125,059299
amostra3;3814,3658;1,050624;125,387415
amostra3;3814,3658;1,050624;126,090522
amostra3;3814,3658;1,050624;126,465513
amostra3;3895,2206;1,065337;126,793629
amostra3;3957,4166;1,070676;127,262367
amostra3;3957,4166;1,070676;127,606108
amostra3;4000,9538;1,076795;127,94985
amostra3;4032,0518;1,081353;128,52796
amostra3;4060,04;1,085128;129,059196
amostra3;4091,138;1,089555;129,387313
amostra3;4091,138;1,089555;129,731054
amostra3;4119,1262;1,094243;130,059171
amostra3;4153,334;1,097628;130,559158
amostra3;4178,2124;1,103878;131,137268
amostra3;4178,2124;1,103878;131,465384
amostra3;4231,079;1,110388;131,965372
amostra3;4231,079;1,110388;132,355987
amostra3;4274,6162;1,117159;132,840349
amostra3;4274,6162;1,117159;133,184091
amostra3;4318,1534;1,121846;133,512207
amostra3;4318,1534;1,121846;133,840324
amostra3;4346,1416;1,127054;134,184065
amostra3;4346,1416;1,127054;134,512182
amostra3;4395,8984;1,136429;135,027793
amostra3;4395,8984;1,136429;135,371535
amostra3;4395,8984;1,136429;135,699651
amostra3;4395,8984;1,136429;136,090266
amostra3;4495,412;1,147757;136,465257
amostra3;4495,412;1,147757;136,824623
amostra3;4529,6198;1,153877;137,168364
amostra3;4529,6198;1,153877;137,49648
amostra3;4570,0472;1,158955;137,840221
amostra3;4607,3648;1,163902;138,387083
amostra3;4607,3648;1,163902;138,777698
amostra3;4641,5726;1,170152;139,105814
amostra3;4641,5726;1,170152;139,43393
amostra3;4685,1098;1,176012;139,933918
amostra3;4685,1098;1,176012;140,277659
amostra3;4685,1098;1,176012;140,637025
amostra3;4750,4156;1,18747;141,246384
amostra3;4750,4156;1,18747;141,652624
amostra3;4821,941;1,196454;142,402605
amostra3;4821,941;1,196454;142,808844
amostra3;4881,0272;1,207;143,511951
amostra3;4881,0272;1,207;143,855692
amostra3;4946,333;1,212599;144,199434
amostra3;4946,333;1,212599;144,52755
amostra3;4986,7604;1,217807;144,871292
amostra3;4986,7604;1,217807;145,261907
amostra3;5024,078;1,225229;145,699395
amostra3;5024,078;1,225229;146,043137
amostra3;5086,274;1,23213;146,605622
amostra3;5086,274;1,23213;146,980612
amostra3;5136,0308;1,239812;147,543098
amostra3;5136,0308;1,239812;147,871214
amostra3;5136,0308;1,239812;148,214956
amostra3;5198,2268;1,246713;148,543072
amostra3;5226,215;1,25101;148,933687
amostra3;5226,215;1,25101;149,261804
amostra3;5260,4228;1,259733;149,855539
amostra3;5260,4228;1,259733;150,19928
amostra3;5325,7286;1,264681;150,527397
amostra3;5353,7168;1,268197;150,855513
amostra3;5353,7168;1,268197;151,199255
amostra3;5375,4854;1,274837;151,746115
amostra3;5425,2422;1,279525;152,277352
amostra3;5425,2422;1,279525;152,605468
amostra3;5465,6696;1,285254;152,94921
amostra3;5465,6696;1,285254;153,386698
amostra3;5465,6696;1,285254;153,996058
amostra3;5512,3166;1,297363;154,496045
amostra3;5512,3166;1,297363;154,824162
amostra3;5590,0616;1,302571;155,167903
amostra3;5590,0616;1,302571;155,511644
amostra3;5627,3792;1,311034;155,980382
amostra3;5627,3792;1,311034;156,324123
amostra3;5683,3556;1,31468;156,65224
amostra3;5683,3556;1,31468;156,980356
amostra3;5708,234;1,320409;157,324098
amostra3;5745,5516;1,325096;157,652214
amostra3;5745,5516;1,325096;157,980331
amostra3;5745,5516;1,325096;158,527192
amostra3;5776,6496;1,33408;158,855309
amostra3;5776,6496;1,33408;159,183425
amostra3;5848,175;1,34007;159,527166
amostra3;5848,175;1,34007;159,870907
amostra3;5848,175;1,34007;160,245898
amostra3;5894,822;1,349054;160,574015
amostra3;5894,822;1,349054;160,980254
amostra3;5944,5788;1,356345;161,558364
amostra3;5997,4454;1,361684;162,12085
amostra3;5997,4454;1,361684;162,448967
amostra3;5997,4454;1,361684;162,777083
amostra3;6040,9826;1,368064;163,120824
amostra3;6078,3002;1,372621;163,448941
amostra3;6078,3002;1,372621;164,402041
